SCI_NAME,Species,Sciname,SPECIES_CODE,PRIMARY_COM_NAME,USABLE,LiberEro
Crotophaga_major,Greater Ani,Crotophaga major,greani1,Greater_Ani,,0
Tringa_melanoleuca,Greater Yellowlegs,Tringa melanoleuca,greyel,Greater_Yellowlegs,,0
Dumetella_carolinensis,Gray Catbird,Dumetella carolinensis,grycat,Gray_Catbird,,1
Tyrannus_dominicensis,Gray Kingbird,Tyrannus dominicensis,grykin,Gray_Kingbird,,0
Vireo_vicinior,Gray Vireo,Vireo vicinior,gryvir,Gray_Vireo,,1
Catharus_minimus,Gray-cheeked Thrush,Catharus minimus,gycthr,Gray-cheeked_Thrush,,1
Empidonax_hammondii,Hammond's Flycatcher,Empidonax hammondii,hamfly,Hammond's_Flycatcher,,1
Zonotrichia_querula,Harris's Sparrow,Zonotrichia querula,harspa,Harris's_Sparrow,,0
Ammodramus_henslowii,Henslow's Sparrow,Ammodramus henslowii,henspa,Henslow's_Sparrow,,0
Piranga_flava,Hepatic Tanager,Piranga flava,heptan,Hepatic_Tanager,,1
Catharus_guttatus,Hermit Thrush,Catharus guttatus,herthr,Hermit_Thrush,,0
Setophaga_occidentalis,Hermit Warbler,Setophaga occidentalis,herwar,Hermit_Warbler,,1
Icterus_cucullatus,Hooded Oriole,Icterus cucullatus,hooori,Hooded_Oriole,,1
Setophaga_citrina,Hooded Warbler,Setophaga citrina,hoowar,Hooded_Warbler,,1
Limosa_haemastica,Hudsonian Godwit,Limosa haemastica,hudgod,Hudsonian_Godwit,,0
Passerina_cyanea,Indigo Bunting,Passerina cyanea,indbun,Indigo_Bunting,,1
Geothlypis_formosa,Kentucky Warbler,Geothlypis formosa,kenwar,Kentucky_Warbler,,1
Charadrius_vociferus,Killdeer,Charadrius vociferus,killde,Killdeer,,0
Calcarius_lapponicus,Lapland Longspur,Calcarius lapponicus,laplon,Lapland_Longspur,,0
Calamospiza_melanocorys,Lark Bunting,Calamospiza melanocorys,larbun,Lark_Bunting,,0
Passerina_amoena,Lazuli Bunting,Passerina amoena,lazbun,Lazuli_Bunting,,1
Empidonax_minimus,Least Flycatcher,Empidonax minimus,leafly,Least_Flycatcher,,1
Calidris_minutilla,Least Sandpiper,Calidris minutilla,leasan,Least_Sandpiper,,0
Tringa_flavipes,Lesser Yellowlegs,Tringa flavipes,lesyel,Lesser_Yellowlegs,,0
Melanerpes_lewis,Lewis's Woodpecker,Melanerpes lewis,lewwoo,Lewis's_Woodpecker,,0
Muscisaxicola_fluviatilis,Little Ground-Tyrant,Muscisaxicola fluviatilis,ligtyr1,Little_Ground-Tyrant,MAYBE,0
Numenius_americanus,Long-billed Curlew,Numenius americanus,lobcur,Long-billed_Curlew,,0
Limnodromus_scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,lobdow,Long-billed_Dowitcher,,0
Parkesia_motacilla,Louisiana Waterthrush,Parkesia motacilla,louwat,Louisiana_Waterthrush,,1
Oreothlypis_luciae,Lucy's Warbler,Oreothlypis luciae,lucwar,Lucy's_Warbler,,1
Geothlypis_tolmiei,MacGillivray's Warbler,Geothlypis tolmiei,macwar,MacGillivray's_Warbler,,1
Haematopus_leucopodus,Magellanic Oystercatcher,Haematopus leucopodus,magoys1,Magellanic_Oystercatcher,,0
Setophaga_magnolia,Magnolia Warbler,Setophaga magnolia,magwar,Magnolia_Warbler,,1
Limosa_fedoa,Marbled Godwit,Limosa fedoa,margod,Marbled_Godwit,,0
Sialia_currucoides,Mountain Bluebird,Sialia currucoides,moublu,Mountain_Bluebird,,0
Charadrius_montanus,Mountain Plover,Charadrius montanus,mouplo,Mountain_Plover,,0
Geothlypis_philadelphia,Mourning Warbler,Geothlypis philadelphia,mouwar,Mourning_Warbler,,1
Oreothlypis_ruficapilla,Nashville Warbler,Oreothlypis ruficapilla,naswar,Nashville_Warbler,,1
Phalacrocorax_brasilianus,Neotropic Cormorant,Phalacrocorax brasilianus,neocor,Neotropic_Cormorant,,0
Setophaga_americana,Northern Parula,Setophaga americana,norpar,Northern_Parula,,1
Anas_acuta,Northern Pintail,Anas acuta,norpin,Northern_Pintail,,0
Parkesia_noveboracensis,Northern Waterthrush,Parkesia noveboracensis,norwat,Northern_Waterthrush,,1
Stelgidopteryx_serripennis,Northern Rough-winged Swallow,Stelgidopteryx serripennis,nrwswa,Northern_Rough-winged_Swallow,,1
Muscisaxicola_flavinucha,Ochre-naped Ground-Tyrant,Muscisaxicola flavinucha,ongtyr1,Ochre-naped_Ground-Tyrant,MAYBE,0
Icterus_spurius,Orchard Oriole,Icterus spurius,orcori,Orchard_Oriole,,1
